ISBN,Title,Author,Edition,Publisher,Date,Dewey,LCCN,CatalogNumber,Pages,Source,Error
716601001,Unknown Title,,,,,,,CatalogNumber 716601001,,,Metadata not found
0664220894,Westminster dictionary of theological terms,Donald K. McKim,,Westminster/John Knox Press,1997,,,CatalogNumber 0664220894,310,Open Library,
35798642,Unknown Title,,,,,,,CatalogNumber 35798642,,,Metadata not found
0785211578,Where to find it in the Bible,"Anderson, Ken,",Nelson's comfort print ed.,,1996,220.3,2019722147,,,Library of Congress,
0830814515,Dictionary of biblical imagery,"Ryken, Leland.",,,1998,220.3,98016945,,,Library of Congress,
9780687054275,New Interpreter's dictionary of the Bible,Abingdon Press.,,,2006,220.3,2006025839,,,Library of Congress,
0687278147,New Interpreter's Bible,Abingdon Press.,,,1994,220.7/7,94021092,,,Library of Congress,
019211655x,Oxford dictionary of the Christian Church,"Cross, F. L. (Frank Leslie),",3rd ed. /,,1997,270/.03,97165294,,,Library of Congress,
0006061656,Harper's encyclopedia of religious education,"Cully, Iris V.",1st ed.,,1990,268/.03,89045392,,,Library of Congress,
9899000102030405060710987654321,Unknown Title,,,,,,,CatalogNumber 9899000102030405060710987654321,,,Metadata not found
0687107547,dictionary for United Methodists,"Waltz, Alan K.",,,1991,262/.076/03,90044117,,,Library of Congress,
1586601385,Dietrich Bonhoeffer,"Van Dyke, Michael.",,,2001,230/.044/092 B,2001281485,,,Library of Congress,
092923975x,Oswald Chambers,"McCasland, Dave.",,,1993,269/.2/092 B,93009528,,,Library of Congress,
1577483642,Amy Carmichael,"Wellman, Sam.",,,1998,266/.0092 B,99192554,,,Library of Congress,
0687085756,magnificent obsession,"Cannon, William Ragsdale,",,,1999,287/.6/092 B,98055936,,,Library of Congress,
0195059514,John Calvin,William J. Bouwsma,,"Oxford University Press, USA","March 17, 1989",,,CatalogNumber 0195059514,320,Open Library,
0060611820,Now and then,Frederick Buechner,,HarperSanFrancisco,1991,,,CatalogNumber 0060611820,112,Open Library,
094655028x,Charles Wesley,John Ashley Vickers,,,1990,,,CatalogNumber 094655028x,36,Google Books,
0946550204,SUSANNA WESLEY Mother of Methodism,Mary Greetham,,Foundery Press,1988,,,CatalogNumber 0946550204,,Open Library,
1880927209,"John Wesley, a man who shook the spiritual earth",John Galen McEllhenney,,General Commission on Archives and History,1996,,,CatalogNumber 1880927209,36,Open Library,
0946550654,JOHN WESLEY FOUNDER OF METHODISM,John Vickers,,Ladybird Books,1977,,,CatalogNumber 0946550654,50,Open Library,
0802824994,John Wesley,"Tomkins, Stephen,",,,2003,287/.092 B,2003054328,,,Library of Congress,
1577481054,Mother Teresa,"Wellman, Sam.",,,1997,271/.97 B,98184965,,,Library of Congress,
1557487286,Charles Spurgeon (1834-1892) (Heroes of the Faith),J. C. Carlie,,"Barbour Publishing, Incorporated","October 1, 1995",,,CatalogNumber 1557487286,208,Open Library,
1557489327,D.L. Moody,"Harvey, Bonnie C.",,,1997,269/.2/092 B,97171301,,,Library of Congress,
1577485599,Jonathan Edwards,Helen K. Hosier,,"Barbour Publishing, Incorporated","Jul 01, 1999",,,CatalogNumber 1577485599,208,Open Library,
1557487847,Billy Graham,"Wellman, Sam.",,,1996,269/.2/092 B,96160105,,,Library of Congress,
0842304215,complete book of Bible trivia,"Lang, J. Stephen.",,,1988,220,88050084,,,Library of Congress,
0687007917,When grief breaks your heart,"Moore, James W. (James Wendell),",,,1994,248.8/6,94019609,,,Library of Congress,
0687467810,You can get bitter or better!,"Moore, James W. (James Wendell),",,,1989,248.8/6,89032605,,,Library of Congress,
0806628332,"Winter grief, summer grace","Miller, James E.,",,,1995,242/.4,95022489,,,Library of Congress,
0876308981,Living with grief,"Doka, Kenneth J.",,,1998,155.9/37,98152429,,,Library of Congress,
1882723007,Embraced by the light,"Eadie, Betty J. (Betty Jean),",,,1992,133.9/01/3,92043277,,,Library of Congress,
1557487294,Corrie Ten Boom,Sam Wellman,,Barbour,1995,,,CatalogNumber 1557487294,208,Open Library,
1557489785,John Wesley,"Wellman, Sam.",,,1997,287/.092 B,98101314,,,Library of Congress,
0687007917,When grief breaks your heart,"Moore, James W. (James Wendell),",,,1994,248.8/6,94019609,,,Library of Congress,
0806628421,Grieving the death of a friend,"Smith, Harold Ivan,",,,1996,155.9/37,96000839,,,Library of Congress,
083411819x,Decembered grief,"Smith, Harold Ivan,",,,1999,248.8/66,99038154,,,Library of Congress,
0806625015,quest for quality caring,"Haugk, Kenneth C.,",,,1990,158/.2,90047490,,,Library of Congress,
1558743316,2nd helping of chicken soup for the soul,"Canfield, Jack,",,,1995,158/.12,95002353,,,Library of Congress,
1558743790,3rd serving of chicken soup for the soul,"Canfield, Jack,",,,1996,158/.12,96006104,,,Library of Congress,
0830714278,The Frog in the Kettle,George Barna,,Gospel Light Pubns,June 1990,,,CatalogNumber 0830714278,235,Open Library,
0715615793,The Language and imagery of the Bible.,G. B. Caird,,"Duckworth, Bristol Classical Press",1980,,,CatalogNumber 0715615793,280,Open Library,
0192116916,dictionary of the Bible,"Browning, W. R. F.",,,1996,220.3,96013033,,,Library of Congress,
0785211527,Nelson's illustrated Bible companion,"Batchelor, Mary.",North American ed.,,1995,220.6/1,95042338,,,Library of Congress,
0801022568,Baker theological dictionary of the Bible,"Elwell, Walter A.",,,2000,230/.041/03,2001278507,,,Library of Congress,
0687400317,exhaustive concordance of the Bible,"Strong, James,",,,1980,220.5/2,80011952,,,Library of Congress,
0764552961,Bible for dummies,"Geoghegan, Jeffrey C.",,,2003,220.6/1,00112065,,,Library of Congress,
0060600373,HarperCollins Bible dictionary,"Achtemeier, Paul J.",,,1996,220.3,96025424,,,Library of Congress,
0802834868,Namibia,"Winter, Colin.",,,1977,261.8/34/5109688,76056830,,,Library of Congress,
0687107571,Dictionary of Bible and religion,"Gentz, William H.,",,,1986,203/.21,85015011,,,Library of Congress,
0192800604,A dictionary of the Bible,W. R. F. Browning,,Oxford University Press,1997,,,CatalogNumber 0192800604,422,Open Library,
0310220823,New Compact Bible Dictionary.,T. Alton Bryant,,Zondervan,1967,,,CatalogNumber 0310220823,,Open Library,
0310220823,New Compact Bible Dictionary.,T. Alton Bryant,,Zondervan,1967,,,CatalogNumber 0310220823,,Open Library,
066422394x,Westminster theological wordbook of the Bible,"Gowan, Donald E.",1st ed.,,2003,220.3,2003041179,,,Library of Congress,
0840720718,Nelson's new illustrated Bible dictionary,"Youngblood, Ronald F. (Ronald Fred),",,,1995,220.3,94044332,,,Library of Congress,
0687278325,new interpreter's study Bible,"Harrelson, Walter J.",,,2003,220.5/20434,2003001421,,,Library of Congress,
0849951232,The inspirational study Bible,Bible,,Word Bibles,1995,,,CatalogNumber 0849951232,1564,Open Library,
038501189x,The Jerusalem Bible,,,,1988,,,CatalogNumber 038501189x,1724,Google Books,
0310900891,spiritual formation Bible,"Jones, Timothy K.,",,,1999,220.5/20432,98061559,,,Library of Congress,
0195046455,Oxford companion to the Bible,"Metzger, Bruce M. (Bruce Manning),",,,1993,220.3,93019315,,,Library of Congress,
0310900891,spiritual formation Bible,"Jones, Timothy K.,",,,1999,220.5/20432,98061559,,,Library of Congress,
0310200059,book of God,"Wangerin, Walter.",,,1996,813/.54,96003338,,,Library of Congress,
0310918367,Today's parallel Bible,"Zondervan Publishing House (Grand Rapids, Mich.)",,,2000,220.5/2,00132650,,,Library of Congress,
0887072267,Thompson NASB Chain Reference Bible,,,Kirkbride Bible Company,December 1993,,,CatalogNumber 0887072267,2238,Open Library,
1576834344,Message,"Peterson, Eugene H.,",,,2003,220.5/208,2002152910,,,Library of Congress,
0687017084,The Bible in Time,Stephen H. Travis,,Abingdon Press,April 1997,,,CatalogNumber 0687017084,280,Open Library,
0856489174,Message of the Bible,"Keeley, Robin.",,,1988,220.6,87002822,,,Library of Congress,
0806620404,Bibliis moscavlis saxelmzganelo,"Dowley, Tim.",1. gamoc`ema.,,1998,,2004551756,,,Library of Congress,
080245562x,Moody guide to the Bible,"Dowley, Tim.",Moody Press ed.,,1986,220.6/1,86012461,,,Library of Congress,
1560066733,King James Bible,"Corzine, Phyllis,",,,2000,220.5/2038,99044140,,,Library of Congress,
080245951x,Unknown Title,,,,,,,CatalogNumber 080245951x,,,Metadata not found
0551013729,Discovering the Bible,Tim Dowley,,Marshall Pickering,1986,,,CatalogNumber 0551013729,144,Open Library,
1565631455,Cities of the biblical world,"DeVries, LaMoine F.,",,,1997,220.9,97002235,,,Library of Congress,
0840751621,Bible almanac,"Packer, J. I. (James Innell)",,,1980,220.3,79023475,,,Library of Congress,
0800619226,Basic biblical geography,"Baly, Denis.",,,1987,220.9/1,86045206,,,Library of Congress,
0025006053,Macmillan Bible atlas,"Aharoni, Yohanan,",Completely rev. 3rd ed. /,,1993,220.9/1/0223,92027895,,,Library of Congress,
0883449463,Not counting women and children,"McKenna, Megan.",,,1994,220.8/3054,93036627,,,Library of Congress,
083081423x,Hard sayings of the Bible,"Kaiser, Walter C., (Walter Christian),",,,1996,220.6,96028488,,,Library of Congress,
0802843581,"Pharisees, scribes, and Sadducees in Palestinian society","Saldarini, Anthony J.",[New ed.].,,2001,305.6/96033,2001272262,,,Library of Congress,
0687462894,Land and the Book,"Page, Charles R.",,,1993,220.9/1,92043245,,,Library of Congress,
0195087070,Oxford history of the biblical world,"Coogan, Michael David.",,,1998,220.9/5,98016042,,,Library of Congress,
0191434515,Oxford Bible atlas,"May, Herbert G. (Herbert Gordon),",3rd ed. /,,1984,220.9/1,84010052,,,Library of Congress,
0840719647,Nelson's 3-D Bible mapbook,"Jenkins, Simon,",,,1995,220.91/022/3,94045223,,,Library of Congress,
9781596361638,Deluxe Then and Now Bible Maps,Rose Publishing,,"Rose Publishing, Inc.","January 7, 2008",,,CatalogNumber 9781596361638,40,Open Library,
0060655410,Harper's Bible commentary,"Mays, James Luther.",,,1988,220.7,88045148,,,Library of Congress,
0060727063,Hours of power,"Schuller, Robert H. (Robert Harold),",1st ed.,,2004,242/.2,2004047262,,,Library of Congress,
0060608811,The New Testament background,C. K. Barrett,,Harper & Row,1989,,,CatalogNumber 0060608811,361,Open Library,
9780802459657,new manners & customs of Bible times,"Gower, Ralph,",Rev. and updated ed.,,2005,220.9/5,2006275693,,,Library of Congress,
1586606794,layman's Bible handbook,"Knight, George W. (George Wendell),",,,2003,220.6/1,2004299486,,,Library of Congress,
9780830821617,John Stott Bible Studies,John R. W. Stott,,IVP Connect,2008,,,CatalogNumber 9780830821617,,Open Library,
9780385522274,To bless the space between us,"O'Donohue, John,",1st ed.,,2008,242/.8,2007031558,,,Library of Congress,
9780060777500,Devotional classics,"Foster, Richard J.",Rev. and expanded,,2005,242,2005922023,,,Library of Congress,
9781430055006,Entrusted - Bible Study Book,Pricilla Shirer,,LifeWay Press,"Sep 01, 2016",,,CatalogNumber 9781430055006,192,Open Library,
9780767332750,"Jesus, the One & Only","Beth Moore, Dale McCleskey",,Lifeway Christian Resources,"December 31, 2000",,,CatalogNumber 9780767332750,,Open Library,
9781430028604,Children of the Day - Bible Study Book,Pricilla Shirer,,LifeWay Press,"May 01, 2014",,,CatalogNumber 9781430028604,240,Open Library,
0687028272,best of Davie Napier,"Napier, Bunyan Davie.",,,1992,221.6,92022864,,,Library of Congress,
0664222315,Reverberations of faith,"Brueggemann, Walter.",1st ed.,,2002,230/.0411,2002016869,,,Library of Congress,
0687013488,theological introduction to the Old Testament,"Birch, Bruce C.",,,1999,230/.0411,99037736,,,Library of Congress,
0830702253,Old Testament in living pictures,"Alexander, David,",[1st ed.],,1973,221.9/0222,73085490,,,Library of Congress,
0687396700,storyteller's companion to the Bible,"Williams, Michael E. (Michael Edward),",,,1991,220.9/505,90026289,,,Library of Congress,
0687396719,The Storyteller's Companion to the Bible,James C. Howell,,Abingdon Press,January 1992,,,CatalogNumber 0687396719,208,Open Library,
0687396727,The Storyteller's Companion to the Bible,Michael E. Williams,,Abingdon Press,October 1992,,,CatalogNumber 0687396727,192,Open Library,
0687396743,The Storyteller's Companion to the Bible,Michael E. Williams,,Abingdon Press,August 1993,,,CatalogNumber 0687396743,208,Open Library,
0687396751,The Storyteller's Companion to the Bible,Michael E. Williams,,Abingdon Press,April 1994,,,CatalogNumber 0687396751,,Open Library,
0687008387,The Storyteller's Companion to the Bible,Michael E. Williams,,Abingdon Press,May 1996,,,CatalogNumber 0687008387,196,Open Library,
068700120x,The Storyteller's Companion to the Bible: The Prophets II,Michael Edward Williams,,,1991,,,CatalogNumber 068700120x,0,Google Books,
0687055857,The Storyteller's Companion to the Bible,Dennis E. Smith,,Abingdon Press,October 1996,,,CatalogNumber 0687055857,202,Open Library,
0687082498,The Storyteller's Companion to the Bible,Michael E. Williams,,Abingdon Press,September 1998,,,CatalogNumber 0687082498,208,Open Library,
0687082722,The Storyteller's Companion to the Bible,Michael E. Williams,,Abingdon Press,February 1999,,,CatalogNumber 0687082722,208,Open Library,
0671441035,Heritage,"Eban, Abba Solomon,",,,1984,909/.04924,84002696,,,Library of Congress,
0310362911,Chronological and background charts of the Old Testament,"Walton, John H.,",,,1978,221/.02/02,77017108,,,Library of Congress,
0687066840,Abingdon first guide,"Travis, Stephen.",,,1996,220.6/1,96012802,,,Library of Congress,
0824505409,How to read the Old Testament,"Charpentier, Etienne.",,,1982,221.6/1,82012728,,,Library of Congress,
0824505409,How to read the Old Testament,"Charpentier, Etienne.",,,1982,221.6/1,82012728,,,Library of Congress,
0827602529,Tanakh =,Jewish Publication Society.,1st ed.,,1985,221.5/2,85010006,,,Library of Congress,
0805462848,history of Israel,"Kaiser, Walter C., (Walter Christian),",,,1998,221.9/5,97009718,,,Library of Congress,
0664258166,The Ten Commandments (The William Barclay Library),William L. Barclay,,Westminster John Knox Press,"March 1, 1999",,,CatalogNumber 0664258166,208,Open Library,
0385313330,Wrestling With Angels,"Naomi H. Rosenblatt, Joshua Horwitz",,Delta,"September 1, 1996",,,CatalogNumber 0385313330,416,Open Library,
0060525096,Abraham,Bruce Feiler,,Harper Perennial,"February 17, 2004",,,CatalogNumber 0060525096,256,Open Library,
0380977761,Abraham,"Feiler, Bruce,",1st ed.,,2002,222/.11092,2002070309,,,Library of Congress,
0939697114,Numbers and Deuteronomy,"Deming, Lynne M.",,,1988,220.7 s 222/.1407,88178389,,,Library of Congress,
0939697106,Exodus and Leviticus,"Schoville, Keith N.",,,1988,220.7 s 222/.1207,88178356,,,Library of Congress,
0804231028,Exodus,"Fretheim, Terence E.",,,1991,222/.1207,90040392,,,Library of Congress,
0939697092,Genesis,"Hinton, Linda B.",,,1988,220.7 s 222/.1107,88178342,,,Library of Congress,
080423101x,Genesis,"Brueggemann, Walter.",,,1982,222/.1107,81082355,,,Library of Congress,
0804231052,Deuteronomy,"Miller, Patrick D.",,,1990,222/.1507,90032986,,,Library of Congress,
0804231044,Numbers,"Olson, Dennis T.",,,1996,222/.1407,96000275,,,Library of Congress,
939697157,Unknown Title,,,,,,,CatalogNumber 939697157,,,Metadata not found
0804231095,First and Second Kings,"Nelson, Richard D. (Richard Donald),",,,1987,222/.507,87009883,,,Library of Congress,
0939697149,First and Second Kings,"Hinton, Linda B.",,,1988,220.7 s 222/.507,88179472,,,Library of Congress,
0939697130,First and Second Samuel,"Johnson, Frank,",,,1988,220.7 s 222/.407,88178409,,,Library of Congress,
0804231087,First and Second Samuel,"Brueggemann, Walter.",,,1990,222/.407,89048936,,,Library of Congress,
0804231273,Jeremiah,"Clements, R. E. (Ronald Ernest),",,,1988,224/.207,88009339,,,Library of Congress,
1573226475,Psalms,"Norris, Kathleen,",1st Riverhead ed.,,1997,223/.2052032,97019048,,,Library of Congress,
080423115x,Psalms,"Mays, James Luther.",,,1994,223/.207,93032887,,,Library of Congress,
0835806227,Living the Psalms,"Dunnam, Maxie D.",,,1990,223/.206,90083523,,,Library of Congress,
0806621206,message of the Psalms,"Brueggemann, Walter.",,,1984,223/.207,84021734,,,Library of Congress,
0809138891,book of Job,"Murphy, Roland E. (Roland Edmund),",,,1999,223/.107,99034535,,,Library of Congress,
0805410856,Trusting God through the worst of times,"Gage, Kenneth G.,",,,1993,223/.1/007,92042619,,,Library of Congress,
0804231141,Job,"Janzen, J. Gerald,",,,1985,223/.107,84048512,,,Library of Congress,
0804231117,Ezra-Nehemiah,"Throntveit, Mark A.,",,,1992,222/.707,91032970,,,Library of Congress,
0804231184,Ezekiel,"Blenkinsopp, Joseph,",,,1990,224/.407,89015564,,,Library of Congress,
0804231281,Hosea--Micah,"Limburg, James,",,,1988,224/.907,87046293,,,Library of Congress,
0804231311,Isaiah 1-39,"Seitz, Christopher R.",,,1993,224/.1077,93003263,,,Library of Congress,
080423132x,Isaiah 40-66,"Hanson, Paul D.",,,1995,224/.1077,95005534,,,Library of Congress,
0804231222,Daniel,"Towner, W. Sibley (Wayne Sibley),",,,1984,224/.507,83018791,,,Library of Congress,
080423129x,Nahum--Malachi,"Achtemeier, Elizabeth Rice,",,,1986,224/.097,85045458,,,Library of Congress,
084993365x,handwriting on the wall,"Jeremiah, David,",,,1992,224/.5015,92023120,,,Library of Congress,
0939697211,Jeremiah and Lamentations,"Hinton, Linda B.",,,1988,220.7 s 224/.207,88179703,,,Library of Congress,
0939697203,Isaiah,"Deming, Lynne M.",,,1988,220.7 s 224/.107,88179683,,,Library of Congress,
093969722x,Ezekiel and Daniel,"Hinton, Linda B.",,,1988,220.7 s 224/.407,88179715,,,Library of Congress,
0939697246,Micah through Malachi,"Hinton, Linda B.",,,1988,220.7 s 224/.907,88179732,,,Library of Congress,
0939697238,Hosea through Jonah,"Sargent, James E.",,,1988,220.7 s 224,88179724,,,Library of Congress,
0687419026,Thus says the Lord,"Ward, James Merrill,",,,1991,224/.06,90028590,,,Library of Congress,
0804208417,Prophets on Main Street,"Corbett, J. Elliott (Jack Elliott),",Rev. and exp.,,1978,224,77079597,,,Library of Congress,
0687071089,Prophets & poets,"Emmerson, Grace I.",,,1997,224/.061,97026447,,,Library of Congress,
0802806007,"To build, to plant","Brueggemann, Walter.",,,1991,224/.207,91211872,,,Library of Congress,
0745915280,Book of Prayers,Connell,,Lion Hudson PLC,1988,,,CatalogNumber 0745915280,,Open Library,
0060727063,Hours of power,"Schuller, Robert H. (Robert Harold),",1st ed.,,2004,242/.2,2004047262,,,Library of Congress,
0664221742,The New Testament : Volume 1 : The Gospels and the Acts of the Apostles,William L. Barclay,,Collins,1968,,,CatalogNumber 0664221742,352,Open Library,
0060514574,In search of Paul,"Crossan, John Dominic.",1st ed.,,2004,225.9/2,2004302914,,,Library of Congress,
9780802871787,What Saint Paul Really Said,N. T. Wright,,Eerdmans,"Sep 05, 2014",,,CatalogNumber 9780802871787,245,Open Library,
0785214240,Exploring the New Testament world,"Bell, Albert A.,",,,1998,225.9/5,98008168,,,Library of Congress,
0664227546,people's New Testament commentary,"Boring, M. Eugene.",1st ed.,,2004,225.7,2004043029,,,Library of Congress,
0687066964,Abingdon first guide,"Travis, Stephen.",,,1996,220.6/1,96012802,,,Library of Congress,
0664227546,people's New Testament commentary,"Boring, M. Eugene.",1st ed.,,2004,225.7,2004043029,,,Library of Congress,
0687030439,Bible and the historian,"Minear, Paul Sevier,",,,2002,225.6/7,2002008839,,,Library of Congress,
0824505417,How to read the New Testament,"Charpentier, Etienne.",,,1982,225.6/1,82013028,,,Library of Congress,
9780060738174,Misquoting Jesus,"Ehrman, Bart D.",1st ed.,,2005,225.4/86,2005046326,,,Library of Congress,
0891097287,message,"Peterson, Eugene H.,",,,1993,225.5/209,92063203,,,Library of Congress,
0800608976,Hear then the parable,"Scott, Bernard Brandon,",,,1989,226/.806,88045248,,,Library of Congress,
0830817778,Dictionary of Jesus and the Gospels,"Green, Joel B.,",,,1992,226/.03,91032382,,,Library of Congress,
9780664227869,Matthew for everyone,"Wright, N. T. (Nicholas Thomas)",2nd ed.,,2004,226.2/077,2006296518,,,Library of Congress,
9780664227876,Matthew for everyone,"Wright, N. T. (Nicholas Thomas)",2nd ed.,,2004,226.2/077,2006296518,,,Library of Congress,
0832910627,The Cotton Patch Version of Matthew and John,Clarence Jordan,,New Win Publishing,1970,,,CatalogNumber 0832910627,0,Google Books,
0804231265,Matthew,"Hare, Douglas R. A.",,,1993,226.2/07,92017838,,,Library of Congress,
066422492x,"The Gospel of Matthew, Volume Two",William Barclay,,Westminster John Knox Press,2002-01-01,,,CatalogNumber 066422492x,0,Google Books,
0664224911,Gospel of Matthew,"Barclay, William,",Rev. and updated.,,2001,226.2/077,2001046940,,,Library of Congress,
0840774842,Gospel parallels,"Throckmorton, Burton Hamilton,",5th ed.,,1992,226/.1,92029948,,,Library of Congress,
066424100x,Gospel of Matthew,"Barclay, William,",Rev. ed.,,1975,226/.2/077,74028251,,,Library of Congress,
1573225096,Mary Magdalen,"Haskins, Susan.",,,1995,226/.092,95022202,,,Library of Congress,
0570032687,Jesus/now,"Brandt, Leslie F.",,,1978,226/.09505,77028652,,,Library of Congress,
9780664227838,Mark for everyone,"Wright, N. T. (Nicholas Thomas)",2nd ed.,,2004,226.3/077,2006296516,,,Library of Congress,
0664241026,Gospel of Mark,"Barclay, William,",,,1975,226/.3/077,74028250,,,Library of Congress,
0664224881,Gospel of Mark,"Barclay, William,",,,2001,226.3/077,2001046839,,,Library of Congress,
0802819478,"Poet & peasant ; and, Through peasant eyes","Bailey, Kenneth E.",Combined ed.,,1983,226/.406,83005581,,,Library of Congress,
9780802819475,"Poet & peasant ; and, Through peasant eyes","Bailey, Kenneth E.",Combined ed.,,1983,226/.406,83005581,,,Library of Congress,
0804231214,Mark,"Williamson, Lamar.",,,1983,226/.307,82017161,,,Library of Congress,
